20130414 17:01:55:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:01:56:	update worker_tb set last_request_time='2013-04-14 17:01:56' where slave_id=1
20130414 17:01:56:	update worker_tb set last_request_time='2013-04-14 17:01:56' where slave_id=1
20130414 17:01:56:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:01:56:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:01:58:	update worker_tb set last_request_time='2013-04-14 17:01:58' where slave_id=1
20130414 17:01:58:	update worker_tb set last_request_time='2013-04-14 17:01:58' where slave_id=1
20130414 17:01:58:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:01:58:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:01:58:	update worker_tb set last_request_time='2013-04-14 17:01:58' where slave_id=1
20130414 17:01:58:	update worker_tb set last_request_time='2013-04-14 17:01:58' where slave_id=1
20130414 17:01:58:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:01:58:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:00:	update worker_tb set last_request_time='2013-04-14 17:02:00' where slave_id=1
20130414 17:02:00:	update worker_tb set last_request_time='2013-04-14 17:02:00' where slave_id=1
20130414 17:02:00:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:00:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:01:	update worker_tb set last_request_time='2013-04-14 17:02:01' where slave_id=1
20130414 17:02:01:	update worker_tb set last_request_time='2013-04-14 17:02:01' where slave_id=1
20130414 17:02:01:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:01:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:03:	update worker_tb set last_request_time='2013-04-14 17:02:03' where slave_id=1
20130414 17:02:03:	update worker_tb set last_request_time='2013-04-14 17:02:03' where slave_id=1
20130414 17:02:03:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:03:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:04:	update worker_tb set last_request_time='2013-04-14 17:02:04' where slave_id=1
20130414 17:02:04:	update worker_tb set last_request_time='2013-04-14 17:02:04' where slave_id=1
20130414 17:02:04:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:04:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:05:	update worker_tb set last_request_time='2013-04-14 17:02:05' where slave_id=1
20130414 17:02:05:	update worker_tb set last_request_time='2013-04-14 17:02:05' where slave_id=1
20130414 17:02:05:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:05:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:06:	update worker_tb set last_request_time='2013-04-14 17:02:06' where slave_id=1
20130414 17:02:06:	update worker_tb set last_request_time='2013-04-14 17:02:06' where slave_id=1
20130414 17:02:06:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:06:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:07:	update worker_tb set last_request_time='2013-04-14 17:02:07' where slave_id=1
20130414 17:02:07:	update worker_tb set last_request_time='2013-04-14 17:02:07' where slave_id=1
20130414 17:02:07:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:07:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:08:	update worker_tb set last_request_time='2013-04-14 17:02:08' where slave_id=1
20130414 17:02:08:	update worker_tb set last_request_time='2013-04-14 17:02:08' where slave_id=1
20130414 17:02:08:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:08:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:09:	update worker_tb set last_request_time='2013-04-14 17:02:09' where slave_id=1
20130414 17:02:09:	update worker_tb set last_request_time='2013-04-14 17:02:09' where slave_id=1
20130414 17:02:09:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:09:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:11:	update worker_tb set last_request_time='2013-04-14 17:02:11' where slave_id=1
20130414 17:02:11:	update worker_tb set last_request_time='2013-04-14 17:02:11' where slave_id=1
20130414 17:02:11:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:11:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:12:	update worker_tb set last_request_time='2013-04-14 17:02:12' where slave_id=1
20130414 17:02:12:	update worker_tb set last_request_time='2013-04-14 17:02:12' where slave_id=1
20130414 17:02:12:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:12:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:13:	update worker_tb set last_request_time='2013-04-14 17:02:13' where slave_id=1
20130414 17:02:13:	update worker_tb set last_request_time='2013-04-14 17:02:13' where slave_id=1
20130414 17:02:14:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:14:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:15:	update worker_tb set last_request_time='2013-04-14 17:02:15' where slave_id=1
20130414 17:02:15:	update worker_tb set last_request_time='2013-04-14 17:02:15' where slave_id=1
20130414 17:02:15:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:15:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:16:	update worker_tb set last_request_time='2013-04-14 17:02:16' where slave_id=1
20130414 17:02:16:	update worker_tb set last_request_time='2013-04-14 17:02:16' where slave_id=1
20130414 17:02:16:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:16:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:17:	update worker_tb set last_request_time='2013-04-14 17:02:17' where slave_id=1
20130414 17:02:17:	update worker_tb set last_request_time='2013-04-14 17:02:17' where slave_id=1
20130414 17:02:17:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:17:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:18:	update worker_tb set last_request_time='2013-04-14 17:02:18' where slave_id=1
20130414 17:02:18:	update worker_tb set last_request_time='2013-04-14 17:02:18' where slave_id=1
20130414 17:02:18:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:18:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:19:	update worker_tb set last_request_time='2013-04-14 17:02:19' where slave_id=1
20130414 17:02:19:	update worker_tb set last_request_time='2013-04-14 17:02:19' where slave_id=1
20130414 17:02:19:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:19:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:20:	update worker_tb set last_request_time='2013-04-14 17:02:20' where slave_id=1
20130414 17:02:20:	update worker_tb set last_request_time='2013-04-14 17:02:20' where slave_id=1
