what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1365904906778
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1365904906778
java.version,sysinfo,,,"1.6.0_38",1365904906778
java.vm.info,sysinfo,,,"mixed mode, sharing",1365904906778
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1365904906778
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365904906778
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365904906778
java.vm.specification.version,sysinfo,,,"1.0",1365904906778
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1365904906778
java.vm.version,sysinfo,,,"20.13-b02",1365904906778
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1365904909194
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1365904963865
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1365904964606
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1365904964767
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1365904964795
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1365904964998
opened,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365904965099
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365904965194
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1365904965804
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1365904965849
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1365904966293
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365904968473
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1365904969454
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.4.1,"org.tigris.subversion.clientadapter.javahl",1365904969649
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1365904969744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365904972896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365904974940
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365904976952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365904983718
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1365904989501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1365905051066
